id,name,posisiton,age,club,hight,foot,caps,goals,marketvaues,country
45,Ryan Jack,Central Midfield,32,Rangers FC,182,right,15,0,1000000,Scotland
46,Kenny McLean,Central Midfield,32,Norwich City,180,left,32,2,900000,Scotland
47,Ryan Christie,Attacking Midfield,29,AFC Bournemouth,178,left,40,5,12000000,Scotland
48,Lewis Morgan,Left Winger,27,New York Red Bulls,178,both,2,0,4000000,Scotland
49,James Forrest,Right Winger,32,Celtic FC,175,right,38,5,1000000,Scotland
50,Ché Adams,Centre-Forward,27,Southampton FC,179,right,25,6,15000000,Scotland
51,Lawrence Shankland,Centre-Forward,28,Heart of Midlothian FC,185,right,9,2,4000000,Scotland
52,Tommy Conway,Centre-Forward,21,Bristol City,185,right,0,0,4000000,Scotland
53,Péter Gulácsi,Goalkeeper,34,RB Leipzig,190,right,53,0,3000000,Hungary
54,Dénes Dibusz,Goalkeeper,33,Ferencvárosi TC,188,right,36,0,2500000,Hungary
55,Péter Szappanos,Goalkeeper,33,Paksi FC,194,right,1,0,500000,Hungary
56,Willi Orbán,Centre-Back,31,RB Leipzig,186,right,43,6,10000000,Hungary
57,Attila Szalai,Centre-Back,26,SC Freiburg,192,left,43,1,4000000,Hungary
58,Márton Dárdai,Centre-Back,22,Hertha BSC,188,left,3,0,2500000,Hungary
59,Botond Balogh,Centre-Back,22,Parma Calcio 1913,189,right,4,0,1800000,Hungary
60,Ádám Lang,Centre-Back,31,Omonia Nicosia,186,right,68,2,450000,Hungary
61,Milos Kerkez,Left-Back,20,AFC Bournemouth,180,left,15,0,20000000,Hungary
62,Zsolt Nagy,Left-Back,31,Puskás Akadémia FC,188,both,19,3,1000000,Hungary
63,Bendegúz Bolla,Right-Back,24,Servette FC,179,right,16,0,2000000,Hungary
64,Endre Botka,Right-Back,29,Ferencvárosi TC,178,right,26,1,1000000,Hungary
65,Loïc Nego,Right-Back,33,Le Havre AC,181,right,36,2,900000,Hungary
66,Attila Fiola,Right-Back,34,Fehérvár FC,183,right,56,2,400000,Hungary
67,Ádám Nagy,Defensive Midfield,28,Spezia Calcio,178,right,80,2,900000,Hungary
68,Dominik Szoboszlai,Central Midfield,23,Liverpool FC,187,right,41,12,75000000,Hungary
69,András Schäfer,Central Midfield,25,1.FC Union Berlin,178,right,25,3,5000000,Hungary
70,Callum Styles,Central Midfield,24,Barnsley FC,167,left,21,0,2500000,Hungary
71,Mihály Kata,Central Midfield,22,MTK Budapest,176,right,3,0,1000000,Hungary
72,Dániel Gazdag,Attacking Midfield,28,Philadelphia Union,178,right,24,4,8000000,Hungary
73,László Kleinheisler,Attacking Midfield,30,HNK Hajduk Split,173,right,50,3,1500000,Hungary
74,Krisztofer Horváth,Attacking Midfield,22,Kecskeméti TE,185,right,2,0,1200000,Hungary
75,Roland Sallai,Right Winger,27,SC Freiburg,183,both,48,12,15000000,Hungary
76,Kevin Csoboth,Right Winger,23,Újpest FC,174,right,7,0,1000000,Hungary
77,Barnabás Varga,Centre-Forward,29,Ferencvárosi TC,181,right,10,4,2500000,Hungary
78,Martin Ádám,Centre-Forward,29,Ulsan HD FC,191,left,20,3,800000,Hungary
79,Gregor Kobel,Goalkeeper,26,Borussia Dortmund,196,right,5,0,40000000,Switzerland
80,Yann Sommer,Goalkeeper,35,Inter Milan,183,right,88,0,5000000,Switzerland
81,Yvon Mvogo,Goalkeeper,30,FC Lorient,190,right,9,0,3000000,Switzerland
82,Manuel Akanji,Centre-Back,28,Manchester City,188,right,59,3,45000000,Switzerland
83,Nico Elvedi,Centre-Back,27,Borussia Mönchengladbach,189,right,52,2,10000000,Switzerland
84,Fabian Schär,Centre-Back,32,Newcastle United,186,right,81,8,10000000,Switzerland
85,Leonidas Stergiou,Centre-Back,22,VfB Stuttgart,181,right,2,0,5000000,Switzerland
86,Cédric Zesiger,Centre-Back,25,VfL Wolfsburg,194,left,3,0,5000000,Switzerland
87,Ricardo Rodríguez,Centre-Back,31,Torino FC,182,left,114,9,3500000,Switzerland
88,Silvan Widmer,Right-Back,31,1.FSV Mainz 05,183,right,42,3,3000000,Switzerland
89,Denis Zakaria,Defensive Midfield,27,AS Monaco,190,right,54,3,25000000,Switzerland
90,Granit Xhaka,Defensive Midfield,31,Bayer 04 Leverkusen,186,left,124,14,20000000,Switzerland
91,Ardon Jashari,Defensive Midfield,21,FC Luzern,181,left,2,0,6000000,Switzerland
92,Michel Aebischer,Central Midfield,27,Bologna FC 1909,183,right,19,0,9000000,Switzerland
93,Remo Freuler,Central Midfield,32,Bologna FC 1909,180,right,66,8,6500000,Switzerland
94,Vincent Sierro,Central Midfield,28,FC Toulouse,185,right,2,0,4000000,Switzerland
95,Fabian Rieder,Attacking Midfield,22,Stade Rennais FC,179,left,5,0,8000000,Switzerland
96,Xherdan Shaqiri,Attacking Midfield,32,Chicago Fire FC,169,left,122,31,2500000,Switzerland
97,Noah Okafor,Left Winger,24,AC Milan,185,right,21,2,20000000,Switzerland
98,Steven Zuber,Left Winger,32,AEK Athens,182,right,53,11,2000000,Switzerland
99,Dan Ndoye,Right Winger,23,Bologna FC 1909,184,right,10,0,14000000,Switzerland
100,Rubén Vargas,Right Winger,25,FC Augsburg,179,right,42,7,7500000,Switzerland
101,Renato Steffen,Right Winger,32,FC Lugano,170,left,39,4,1000000,Switzerland
102,Breel Embolo,Centre-Forward,27,AS Monaco,187,right,63,13,12000000,Switzerland
103,Zeki Amdouni,Centre-Forward,23,Burnley FC,185,both,14,7,12000000,Switzerland
104,Kwadwo Duah,Centre-Forward,27,Ludogorets Razgrad,185,right,1,0,3000000,Switzerland
105,David Raya,Goalkeeper,28,Arsenal FC,183,right,5,0,35000000,Spain
106,Unai Simón,Goalkeeper,26,Athletic Bilbao,190,right,39,0,30000000,Spain
107,Álex Remiro,Goalkeeper,29,Real Sociedad,191,right,1,0,25000000,Spain
108,Robin Le Normand,Centre-Back,27,Real Sociedad,187,right,10,1,40000000,Spain
109,Dani Vivian,Centre-Back,24,Athletic Bilbao,184,right,2,0,25000000,Spain
110,Aymeric Laporte,Centre-Back,30,Al-Nassr FC,191,left,28,1,20000000,Spain
111,Nacho Fernández,Centre-Back,34,Real Madrid,180,right,24,1,3000000,Spain
112,Alejandro Grimaldo,Left-Back,28,Bayer 04 Leverkusen,171,left,3,0,45000000,Spain
113,Marc Cucurella,Left-Back,25,Chelsea FC,173,left,3,0,25000000,Spain
114,Daniel Carvajal,Right-Back,32,Real Madrid,173,right,43,0,12000000,Spain
115,Jesús Navas,Right-Back,38,Sevilla FC,170,right,52,5,2500000,Spain
116,Rodri,Defensive Midfield,27,Manchester City,191,right,49,3,120000000,Spain
117,Martín Zubimendi,Defensive Midfield,25,Real Sociedad,181,right,6,0,50000000,Spain
118,Pedri,Central Midfield,21,FC Barcelona,174,right,19,0,80000000,Spain
119,Mikel Merino,Central Midfield,27,Real Sociedad,189,left,20,1,50000000,Spain
120,Fabián Ruiz,Central Midfield,28,Paris Saint-Germain,189,left,22,1,30000000,Spain
121,Fermín López,Central Midfield,21,FC Barcelona,174,right,1,0,30000000,Spain
122,Dani Olmo,Attacking Midfield,26,RB Leipzig,179,right,33,8,50000000,Spain
123,Álex Baena,Attacking Midfield,22,Villarreal CF,174,right,3,1,40000000,Spain
124,Nico Williams,Left Winger,21,Athletic Bilbao,181,right,13,2,60000000,Spain
125,Ferran Torres,Left Winger,24,FC Barcelona,184,right,41,19,30000000,Spain
126,Ayoze Pérez,Left Winger,30,Real Betis Balompié,178,right,1,1,7000000,Spain
127,Lamine Yamal,Right Winger,16,FC Barcelona,178,left,6,2,90000000,Spain
128,Mikel Oyarzabal,Centre-Forward,27,Real Sociedad,181,left,29,10,45000000,Spain
129,Álvaro Morata,Centre-Forward,31,Atlético de Madrid,189,right,72,34,16000000,Spain
130,Joselu,Centre-Forward,34,Real Madrid,191,right,10,5,5000000,Spain
131,Dominik Livakovic,Goalkeeper,29,Fenerbahce,188,right,53,0,11000000,Croatia
132,Nediljko Labrovic,Goalkeeper,24,HNK Rijeka,196,right,1,0,4500000,Croatia
133,Ivica Ivusic,Goalkeeper,29,Pafos FC,195,right,6,0,2500000,Croatia
134,Josip Stanisic,Centre-Back,24,Bayer 04 Leverkusen,187,both,17,0,28000000,Croatia
135,Josip Sutalo,Centre-Back,24,Ajax Amsterdam,190,right,13,0,15000000,Croatia
136,Marin Pongracic,Centre-Back,26,US Lecce,193,right,7,0,7000000,Croatia
137,Martin Erlić,Centre-Back,26,US Sassuolo,193,right,9,0,3000000,Croatia
138,Domagoj Vida,Centre-Back,35,AEK Athens,184,right,105,4,1200000,Croatia
139,Josko Gvardiol,Left-Back,22,Manchester City,185,left,29,2,75000000,Croatia
140,Borna Sosa,Left-Back,26,Ajax Amsterdam,187,left,20,1,7500000,Croatia
141,Josip Juranovic,Right-Back,28,1.FC Union Berlin,173,right,37,0,7500000,Croatia
142,Marcelo Brozovic,Defensive Midfield,31,Al-Nassr FC,181,both,95,7,16000000,Croatia
143,Mateo Kovacic,Central Midfield,30,Manchester City,177,right,100,5,30000000,Croatia
144,Luka Sucic,Central Midfield,21,Red Bull Salzburg,185,left,6,0,15000000,Croatia
145,Mario Pasalic,Central Midfield,29,Atalanta BC,188,right,62,10,13000000,Croatia
146,Luka Modric,Central Midfield,38,Real Madrid,172,right,174,24,6000000,Croatia
147,Lovro Majer,Attacking Midfield,26,VfL Wolfsburg,178,left,30,8,20000000,Croatia
148,Martin Baturina,Attacking Midfield,21,GNK Dinamo Zagreb,172,right,3,0,20000000,Croatia
149,Nikola Vlašić,Attacking Midfield,26,Torino FC,179,right,55,8,10000000,Croatia
150,Luka Ivanusec,Left Winger,25,Feyenoord Rotterdam,175,right,20,2,12000000,Croatia
151,Marko Pjaca,Left Winger,29,HNK Rijeka,186,right,26,1,2500000,Croatia
152,Ivan Perisic,Left Winger,35,HNK Hajduk Split,186,both,130,33,2000000,Croatia
153,Marco Pasalic,Right Winger,23,HNK Rijeka,177,left,5,1,4000000,Croatia
154,Andrej Kramaric,Centre-Forward,32,TSG 1899 Hoffenheim,177,right,92,28,5000000,Croatia
155,Ante Budimir,Centre-Forward,32,CA Osasuna,190,left,20,2,5000000,Croatia
156,Bruno Petkovic,Centre-Forward,29,GNK Dinamo Zagreb,193,right,37,11,5000000,Croatia
157,Thomas Strakosha,Goalkeeper,29,Brentford FC,193,right,28,0,3000000,Albania
158,Elhan Kastrati,Goalkeeper,27,AS Cittadella,189,right,2,0,1300000,Albania
159,Etrit Berisha,Goalkeeper,35,FC Empoli,194,left,80,0,500000,Albania
160,Berat Djimsiti,Centre-Back,31,Atalanta BC,190,right,57,1,10000000,Albania
161,Marash Kumbulla,Centre-Back,24,US Sassuolo,191,right,19,0,4500000,Albania
162,Ardian Ismajli,Centre-Back,27,FC Empoli,187,right,38,2,3000000,Albania
163,Enea Mihaj,Centre-Back,25,FC Famalicão,186,right,19,0,1500000,Albania
164,Arlind Ajeti,Centre-Back,30,CFR Cluj,184,right,25,1,1000000,Albania
165,Mario Mitaj,Left-Back,20,Lokomotiv Moscow,180,left,13,0,2000000,Albania
166,Naser Aliji,Left-Back,30,FC Voluntari,177,left,13,0,400000,Albania
167,Elseid Hysaj,Right-Back,30,SS Lazio,182,right,83,2,2500000,Albania
168,Iván Balliu,Right-Back,32,Rayo Vallecano,172,right,13,0,2000000,Albania
169,Kristjan Asllani,Defensive Midfield,22,Inter Milan,175,right,20,2,18000000,Albania
170,Ylber Ramadani,Defensive Midfield,28,US Lecce,185,right,35,1,4000000,Albania
171,Klaus Gjasula,Defensive Midfield,34,SV Darmstadt 98,190,both,28,0,400000,Albania
172,Amir Abrashi,Defensive Midfield,34,Grasshopper Club Zurich,172,right,50,1,200000,Albania
173,Qazim Laci,Central Midfield,28,AC Sparta Prague,173,right,27,3,2500000,Albania
174,Medon Berisha,Central Midfield,20,US Lecce,186,right,1,0,1000000,Albania
175,Ernest Muci,Attacking Midfield,23,Besiktas JK,180,both,10,3,13000000,Albania
176,Nedim Bajrami,Attacking Midfield,25,US Sassuolo,179,right,23,4,4500000,Albania
177,Arbër Hoxha,Left Winger,25,GNK Dinamo Zagreb,185,right,4,0,1800000,Albania
178,Jasir Asani,Right Winger,29,Gwangju FC,175,left,13,4,1000000,Albania
179,Armando Broja,Centre-Forward,22,Chelsea FC,191,right,21,5,22000000,Albania
180,Rey Manaj,Centre-Forward,27,Sivasspor,182,right,33,7,5000000,Albania
181,Taulant Seferi,Centre-Forward,27,FC Baniyas,184,right,19,3,3500000,Albania
182,Mirlind Daku,Centre-Forward,26,Rubin Kazan,192,right,5,1,3000000,Albania
183,Gianluigi Donnarumma,Goalkeeper,25,Paris Saint-Germain,196,right,61,0,40000000,Italy
184,Guglielmo Vicario,Goalkeeper,27,Tottenham Hotspur,194,right,2,0,35000000,Italy
185,Alex Meret,Goalkeeper,27,SSC Napoli,190,left,3,0,12000000,Italy
186,Alessandro Bastoni,Centre-Back,25,Inter Milan,190,left,23,1,70000000,Italy
187,Alessandro Buongiorno,Centre-Back,25,Torino FC,190,left,3,0,35000000,Italy
188,Riccardo Calafiori,Centre-Back,22,Bologna FC 1909,188,left,1,0,30000000,Italy
189,Gianluca Mancini,Centre-Back,28,AS Roma,190,right,13,0,25000000,Italy
190,Federico Gatti,Centre-Back,25,Juventus FC,190,right,3,0,18000000,Italy
191,Federico Dimarco,Left-Back,26,Inter Milan,175,left,18,2,50000000,Italy
192,Andrea Cambiaso,Left-Back,24,Juventus FC,182,both,3,0,25000000,Italy
193,Giovanni Di Lorenzo,Right-Back,30,SSC Napoli,183,right,35,3,15000000,Italy
194,Raoul Bellanova,Right-Back,24,Torino FC,188,right,1,0,15000000,Italy
195,Matteo Darmian,Right-Back,34,Inter Milan,183,right,42,2,4000000,Italy
196,Bryan Cristante,Defensive Midfield,29,AS Roma,186,right,39,2,20000000,Italy
197,Jorginho,Defensive Midfield,32,Arsenal FC,178,right,53,5,12000000,Italy
198,Nicolò Barella,Central Midfield,27,Inter Milan,175,right,53,9,80000000,Italy
199,Davide Frattesi,Central Midfield,24,Inter Milan,178,right,14,4,35000000,Italy
200,Nicolò Fagioli,Central Midfield,23,Juventus FC,178,right,2,0,15000000,Italy
201,Michael Folorunsho,Central Midfield,26,Hellas Verona,190,right,0,0,8500000,Italy
202,Lorenzo Pellegrini,Attacking Midfield,27,AS Roma,186,right,29,6,25000000,Italy
203,Federico Chiesa,Left Winger,26,Juventus FC,175,right,46,7,35000000,Italy
204,Mattia Zaccagni,Left Winger,28,SS Lazio,177,right,5,0,20000000,Italy
205,Stephan El Shaarawy,Left Winger,31,AS Roma,178,right,31,7,5000000,Italy
206,Giacomo Raspadori,Second Striker,24,SSC Napoli,172,right,27,6,25000000,Italy
207,Gianluca Scamacca,Centre-Forward,25,Atalanta BC,195,right,15,1,35000000,Italy
208,Mateo Retegui,Centre-Forward,25,Genoa CFC,186,right,7,4,16000000,Italy
209,Jan Oblak,Goalkeeper,31,Atlético de Madrid,188,right,64,0,28000000,Slovenia
210,Vid Belec,Goalkeeper,34,APOEL Nicosia,192,right,21,0,500000,Slovenia
211,Igor Vekic,Goalkeeper,26,Vejle Boldklub,192,right,1,0,300000,Slovenia
212,Jaka Bijol,Centre-Back,25,Udinese Calcio,190,right,48,1,10000000,Slovenia
213,David Brekalo,Centre-Back,25,Orlando City SC,188,right,12,1,3500000,Slovenia
214,Vanja Drkusic,Centre-Back,24,FC Sochi,188,right,7,0,2800000,Slovenia
215,Zan Zaletel,Centre-Back,24,Viborg FF,185,right,2,0,1200000,Slovenia
216,Jure Balkovec,Left-Back,29,Alanyaspor,185,left,32,0,1200000,Slovenia
217,Erik Janza,Left-Back,30,Górnik Zabrze,175,left,9,2,600000,Slovenia
218,Petar Stojanović,Right-Back,28,UC Sampdoria,178,right,52,3,1300000,Slovenia
219,Zan Karnicnik,Right-Back,29,NK Celje,184,right,27,1,1000000,Slovenia
220,Jon Gorenc Stankovic,Defensive Midfield,28,SK Sturm Graz,190,right,23,1,4500000,Slovenia
221,Adrian Zeljkovic,Defensive Midfield,21,Spartak Trnava,192,right,1,0,2000000,Slovenia
222,Sandi Lovric,Central Midfield,26,Udinese Calcio,180,right,34,4,8000000,Slovenia
223,Adam Gnezda Cerin,Central Midfield,24,Panathinaikos FC,180,right,30,4,3500000,Slovenia
224,Miha Zajc,Central Midfield,29,Fenerbahce,178,right,39,8,2400000,Slovenia
225,Timi Max Elsnik,Central Midfield,26,NK Olimpija Ljubljana,182,left,14,1,1500000,Slovenia
226,Jasmin Kurtic,Central Midfield,35,FC Südtirol,186,right,91,2,500000,Slovenia
227,Tomi Horvat,Right Midfield,25,SK Sturm Graz,176,left,6,0,5000000,Slovenia
228,Josip Ilicic,Attacking Midfield,36,NK Maribor,190,left,80,17,300000,Slovenia
229,Benjamin Verbic,Left Winger,30,Panathinaikos FC,183,right,58,6,2000000,Slovenia
230,Benjamin Sesko,Centre-Forward,21,RB Leipzig,195,right,28,11,50000000,Slovenia
231,Andraz Sporar,Centre-Forward,30,Panathinaikos FC,186,right,52,11,4000000,Slovenia
232,Jan Mlakar,Centre-Forward,25,Pisa Sporting Club,183,right,16,3,2500000,Slovenia
233,Zan Vipotnik,Centre-Forward,22,FC Girondins Bordeaux,185,both,9,2,2500000,Slovenia
234,Luka Zahovic,Centre-Forward,28,Pogon Szczecin,177,right,15,0,400000,Slovenia
235,Aaron Ramsdale,Goalkeeper,26,Arsenal FC,190,right,5,0,25000000,England
236,Jordan Pickford,Goalkeeper,30,Everton FC,185,left,61,0,22000000,England
237,Dean Henderson,Goalkeeper,27,Crystal Palace,188,right,1,0,12000000,England
238,John Stones,Centre-Back,30,Manchester City,188,right,72,3,38000000,England
239,Marc Guéhi,Centre-Back,23,Crystal Palace,182,right,11,0,38000000,England
240,Ezri Konsa,Centre-Back,26,Aston Villa,183,right,4,0,35000000,England
241,Joe Gomez,Centre-Back,27,Liverpool FC,188,right,15,0,28000000,England
242,Lewis Dunk,Centre-Back,32,Brighton & Hove Albion,192,right,6,0,12000000,England
243,Luke Shaw,Left-Back,28,Manchester United,178,left,31,3,32000000,England
244,Trent Alexander-Arnold,Right-Back,25,Liverpool FC,180,right,25,3,70000000,England
245,Kyle Walker,Right-Back,34,Manchester City,178,right,83,1,13000000,England
246,Kieran Trippier,Right-Back,33,Newcastle United,173,right,48,1,10000000,England
247,Declan Rice,Defensive Midfield,25,Arsenal FC,188,right,51,3,120000000,England
248,Conor Gallagher,Central Midfield,24,Chelsea FC,182,right,13,0,50000000,England
249,Kobbie Mainoo,Central Midfield,19,Manchester United,175,right,3,0,50000000,England
250,Adam Wharton,Central Midfield,20,Crystal Palace,182,left,1,0,30000000,England
251,Jude Bellingham,Attacking Midfield,20,Real Madrid,186,right,29,3,180000000,England
252,Cole Palmer,Attacking Midfield,22,Chelsea FC,189,left,4,1,80000000,England
253,Eberechi Eze,Attacking Midfield,25,Crystal Palace,178,right,4,0,55000000,England
254,Anthony Gordon,Left Winger,23,Newcastle United,182,right,3,0,60000000,England
255,Phil Foden,Right Winger,24,Manchester City,171,left,34,4,150000000,England
256,Bukayo Saka,Right Winger,22,Arsenal FC,178,left,33,11,140000000,England
257,Jarrod Bowen,Right Winger,27,West Ham United,175,left,8,0,50000000,England
258,Harry Kane,Centre-Forward,30,Bayern Munich,188,right,91,63,100000000,England
259,Ollie Watkins,Centre-Forward,28,Aston Villa,180,right,12,3,65000000,England
260,Ivan Toney,Centre-Forward,28,Brentford FC,185,right,3,1,50000000,England
261,Mads Hermansen,Goalkeeper,23,Leicester City,187,right,0,0,9000000,Denmark
262,Frederik Rönnow,Goalkeeper,31,1.FC Union Berlin,188,right,10,0,4500000,Denmark
263,Kasper Schmeichel,Goalkeeper,37,RSC Anderlecht,189,right,100,0,1000000,Denmark
264,Andreas Christensen,Centre-Back,28,FC Barcelona,187,right,69,3,40000000,Denmark
265,Joachim Andersen,Centre-Back,28,Crystal Palace,192,right,31,0,35000000,Denmark
266,Jannik Vestergaard,Centre-Back,31,Leicester City,199,both,40,2,3000000,Denmark
267,Simon Kjær,Centre-Back,35,AC Milan,191,right,131,5,1500000,Denmark
268,Zanka,Centre-Back,34,Brentford FC,189,right,37,2,1000000,Denmark
269,Victor Kristiansen,Left-Back,21,Bologna FC 1909,181,left,7,0,15000000,Denmark
270,Joakim Maehle,Right-Back,27,VfL Wolfsburg,185,right,44,11,14000000,Denmark
271,Alexander Bah,Right-Back,26,SL Benfica,183,right,10,1,13000000,Denmark
272,Rasmus Kristensen,Right-Back,26,AS Roma,187,right,21,0,10000000,Denmark
273,Morten Hjulmand,Defensive Midfield,24,Sporting CP,185,right,6,0,40000000,Denmark
274,Christian Nørgaard,Defensive Midfield,30,Brentford FC,187,right,25,1,18000000,Denmark
275,Pierre-Emile Højbjerg,Defensive Midfield,28,Tottenham Hotspur,185,right,76,9,18000000,Denmark
276,Mathias Jensen,Central Midfield,28,Brentford FC,180,right,30,1,28000000,Denmark
277,Christian Eriksen,Central Midfield,32,Manchester United,182,right,129,41,8000000,Denmark
278,Thomas Delaney,Central Midfield,32,RSC Anderlecht,182,left,77,8,2500000,Denmark
279,Mikkel Damsgaard,Left Winger,23,Brentford FC,180,right,26,4,10000000,Denmark
280,Jacob Bruun Larsen,Left Winger,25,Burnley FC,183,right,6,1,8000000,Denmark
281,Andreas Skov Olsen,Right Winger,24,Club Brugge KV,187,left,29,8,18000000,Denmark
282,Anders Dreyer,Right Winger,26,RSC Anderlecht,174,left,3,0,15000000,Denmark
283,Rasmus Højlund,Centre-Forward,21,Manchester United,191,left,13,7,65000000,Denmark
284,Jonas Wind,Centre-Forward,25,VfL Wolfsburg,190,right,27,8,20000000,Denmark
285,Kasper Dolberg,Centre-Forward,26,RSC Anderlecht,187,right,46,11,12000000,Denmark
286,Yussuf Poulsen,Centre-Forward,29,RB Leipzig,192,right,78,12,6000000,Denmark
287,Djordje Petrovic,Goalkeeper,24,Chelsea FC,194,right,3,0,20000000,Serbia
288,Predrag Rajkovic,Goalkeeper,28,RCD Mallorca,191,right,31,0,10000000,Serbia
289,Vanja Milinković-Savić,Goalkeeper,27,Torino FC,202,right,19,0,5000000,Serbia
290,Strahinja Pavlovic,Centre-Back,23,Red Bull Salzburg,194,left,34,4,25000000,Serbia
291,Nikola Milenković,Centre-Back,26,ACF Fiorentina,195,right,52,3,15000000,Serbia
292,Milos Veljkovic,Centre-Back,28,SV Werder Bremen,188,right,30,1,4500000,Serbia
293,Srdjan Babic,Centre-Back,28,Spartak Moscow,194,left,8,1,4000000,Serbia
294,Nemanja Gudelj,Centre-Back,32,Sevilla FC,187,right,61,1,3500000,Serbia
295,Nemanja Stojic,Centre-Back,26,FK TSC Backa Topola,190,right,1,0,2000000,Serbia
296,Uros Spajic,Centre-Back,31,Red Star Belgrade,188,right,21,0,1200000,Serbia
297,Filip Mladenovic,Left-Back,32,Panathinaikos FC,180,left,30,1,900000,Serbia
298,Srdjan Mijailovic,Defensive Midfield,30,Red Star Belgrade,178,right,7,0,1700000,Serbia
299,Sergej Milinković-Savić,Central Midfield,29,Al-Hilal SFC,192,right,50,8,30000000,Serbia
300,Lazar Samardžić,Central Midfield,22,Udinese Calcio,184,left,8,0,20000000,Serbia
301,Ivan Ilić,Central Midfield,23,Torino FC,186,left,15,0,18000000,Serbia
302,Saša Lukić,Central Midfield,27,Fulham FC,182,right,45,2,10000000,Serbia
303,Nemanja Maksimovic,Central Midfield,29,Getafe CF,189,right,49,0,6000000,Serbia
304,Filip Kostić,Left Midfield,31,Juventus FC,184,left,62,3,6500000,Serbia
305,Mijat Gacinovic,Attacking Midfield,29,AEK Athens,175,right,27,2,3000000,Serbia
